ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating
1,"Steins;Gate",24,"[ 'Kadokawa Pictures Japan',  'Nitroplus',  'AT-X',  'White Fox',  'Movic', 'Frontier Works',  'Media Factory',  'FUNimation Entertainment', 'WHITE FOX']","[ 'Psychological',  'Time Travel',  'LGBT Themes',  'Thriller', 'Based on a Visual Novel',  'Sci Fi', 'Sci-Fi']",TV,2011-2011,4.7
2,"Mushishi Zoku Shou 2nd Season",10,"[ 'Aniplex',  'Aniplex of America', 'Artland']","[ 'Seinen',  'Supernatural', 'Adventure',  'Mystery',  'Fantasy',  'Slice of Life', 'Based on a Manga',  'Episodic',  'Historical']",TV,2014-2014,4.6
3,"Hunter x Hunter (2011)",148,"['Madhouse',  'VAP',  'Viz Media',  'Nippon Television Network Corporation', 'MADHOUSE']","[ 'Based on a Manga',  'Adventure',  'Super Power',  'Superpowers',  'Shounen',  'Violence', 'Action']",TV,2011-2014,4.6
4,"Ookami Kodomo no Ame to Yuki (Wolf Children)",1,"[ 'Yomiuri Telecasting Corporation',  'VAP',  'Studio Chizu', 'Madhouse',  'Dentsu',  'Kadokawa Shoten',  'FUNimation Entertainment',  'Toho Company', 'Studio Chizu']","[ 'Countryside',  'Fantasy',  'Coming of Age', 'Childcare',  'Slice of Life', 'Fantasy']",Movie,2012-2012,4.6
5,"Suzumiya Haruhi no Shoushitsu",1,"[ 'Animation Do',  'Bandai Entertainment', 'Kyoto Animation',  'Kadokawa Shoten']","[ 'Psychological',  'Supernatural',  'Sci Fi',  'Romance',  'Time Travel',  'Mystery', 'Drama',  'School', 'Comedy',  'Sci-Fi']",Movie,2010-2010,4.6
6,"Kuroko no Basket 3rd Season NG-shuu",25,"[ 'Bandai Visual', 'Production I.G']","[ 'Basketball',  'Tournaments',  'Sports',  'Shounen',  'School Club', 'Based on a Manga', 'Comedy']",TV,2015-2015,4.6
7,"Haikyuu!! Second Season",25,"['Production I.G',  'Sentai Filmworks']","[ 'School Life',  'Sports',  'Shounen',  'School Club',  'Drama', 'Based on a Manga',  'School', 'Comedy']",TV,2015-?,4.6
8,"Shigatsu wa Kimi no Uso (Your Lie in April)",22,"['Aniplex',  'A-1 Pictures',  'Dentsu',  'Aniplex of America',  'Kodansha', 'A-1 Pictures',  'Fuji TV']","[ 'Classical Music',  'School Life',  'Tournaments',  'Music',  'Psychological',  'Drama',  'Romance',  'Shounen', 'Drama', 'Based on a Manga',  'School',  'noitaminA']",TV,2014-2015,4.6
9,"Fate/Zero Remix",12,"['ufotable',  'Aniplex of America', 'Aniplex',  'Nitroplus',  'ufotable']","[ 'Supernatural',  'Magic',  'Superpowers',  'Fantasy',  'Based on a Light Novel',  'Violence', 'Action']",TV,2012-2012,4.6
10,"Kuroko no Basket 2nd Season NG-shuu",25,"['Production I.G']","[ 'Basketball',  'Tournaments',  'Sports',  'Shounen',  'School Club', 'Based on a Manga', 'Comedy']",TV,2013-2014,4.6
